5000000000000000000000000000000000000 5000000000000000000000000000100000000
70000000000000000000000000000 70000000000000000000100000000
80000000000000000000000000000000000000000000000000000000000000000000000000 80000000000000000000000000000000000000000000000000000000000000000100000000
1000000000000000000000000000000000000000000000 1000000000000000000000000000000000000100000000
1000000000000000000000 1000000000000100000000
2000000000000000000000000000000000000000000 2000000000000000000000000000000000100000000
700000000000000000000000000000000000 700000000000000000000000000100000000
30000000000 30100000000
800000000000000000000000000000000000000000000000000000000000000 800000000000000000000000000000000000000000000000000000100000000
5000000000000000000000000000000000000000000000000000 5000000000000000000000000000000000000000000100000000
5000000000000000000 5000000000100000000
300000000000000000000000000000000000000000000000000000000000000000000000000000000000 300000000000000000000000000000000000000000000000000000000000000000000000000100000000
50000000000000000000000000000000000000000000 50000000000000000000000000000000000100000000
2000000000000000000000 2000000000000100000000
60000000000000000000000000000000000000000000000000000000000000000000000 60000000000000000000000000000000000000000000000000000000000000100000000
70000000000000000 70000000100000000
3000000000000000000000000000000000000000000000000000000000000000000000000000000 3000000000000000000000000000000000000000000000000000000000000000000000100000000
40000000000000000000000000000000000 40000000000000000000000000100000000
80000000000000000000000000000000000000000000000000000000000000000 80000000000000000000000000000000000000000000000000000000100000000
6000000000000000000000000000 6000000000000000000100000000
40000000000000000000000000000000000000000000000000000000000000 40000000000000000000000000000000000000000000000000000100000000
50000000000000000000000000000000000000000000000000000000 50000000000000000000000000000000000000000000000100000000
4000000000000000000000000000000000000000000000000000000000000000000000000000000000000 4000000000000000000000000000000000000000000000000000000000000000000000000000100000000
70000000000000 70000100000000
1000000000000000000000000000000000000000000000000000000000000000000000000 1000000000000000000000000000000000000000000000000000000000000000100000000
300000000000000000000000000000000000000000 300000000000000000000000000000000100000000
60000000000000000000000000000000000000000000000000000000000000000000000000000000000 60000000000000000000000000000000000000000000000000000000000000000000000000100000000
60000000000000000000000000000000000000000 60000000000000000000000000000000100000000
80000000000000000000000000000000000000000000000000000000000000 80000000000000000000000000000000000000000000000000000100000000
30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 30000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
40000000000000000000000000000000000000000000000000000000000000000000000000 40000000000000000000000000000000000000000000000000000000000000000100000000
80000000000000000000000000000000000000000000000000000000000000000 80000000000000000000000000000000000000000000000000000000100000000
300000000000000000 300000000100000000
90000000000000000000 90000000000100000000
800000000000000000000000000000000000000000000000000 800000000000000000000000000000000000000000100000000
70000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 70000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
400000000000000000000000000000000000000000000000000000 400000000000000000000000000000000000000000000100000000
500000000000000000000000000000000000000000000000000000 500000000000000000000000000000000000000000000100000000
50000000000000000000000000000000000000000000000000000000000000000000000000000000000000 50000000000000000000000000000000000000000000000000000000000000000000000000000100000000
20000000000000000000000000000000000000000000000000000000000 20000000000000000000000000000000000000000000000000100000000
1000000000000000000000 1000000000000100000000
20000000000000000000000000000000000000000000000000000000000000000000000000000000 20000000000000000000000000000000000000000000000000000000000000000000000100000000
7000000000000000000000000000000 7000000000000000000000100000000
2000000000000000000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000100000000
800000000000000000000000000000000000000000000000000000000000000000000000000000000000000 800000000000000000000000000000000000000000000000000000000000000000000000000000100000000
200000000000000000000000000000000000000000000000000000000000000000000000000000 200000000000000000000000000000000000000000000000000000000000000000000100000000
60000000000000000000000000000000000000000000000 60000000000000000000000000000000000000100000000
30000000000000000000000000000000000000000000000000000000000000000000000000 30000000000000000000000000000000000000000000000000000000000000000100000000
70000000000000000000000000000000000000000000000000000000000000000000000 70000000000000000000000000000000000000000000000000000000000000100000000
4000000000000000000000000 4000000000000000100000000
700000000000000000000000000000000000000000000000000000000 700000000000000000000000000000000000000000000000100000000
20000000000000000000000000000000000000000000000000000000000000000000000000000000 20000000000000000000000000000000000000000000000000000000000000000000000100000000
30000000000000000000000000000000000000000000000000000000000000000000000000000000 30000000000000000000000000000000000000000000000000000000000000000000000100000000
20000000000000000000000000000000000000000000000000000000000000000000000000000000000000 20000000000000000000000000000000000000000000000000000000000000000000000000000100000000
9000000000000000000000000 9000000000000000100000000
6000000000000000000000000000000000000000000000000000000000000000000000000000000000 6000000000000000000000000000000000000000000000000000000000000000000000000100000000
60000000000 60100000000
800000000000000000000000000000000000000000000000000000000000000000000000 800000000000000000000000000000000000000000000000000000000000000100000000
90000000000000000000000000000 90000000000000000000100000000
3000000000000000000000000000000000000000000000000000000000000000 3000000000000000000000000000000000000000000000000000000100000000
500000000000000000000000000000000000000000000000000 500000000000000000000000000000000000000000100000000
5000000000000000000000000000000000000000000000000000000000000 5000000000000000000000000000000000000000000000000000100000000
60000000000000000000000000000000000000000000000 60000000000000000000000000000000000000100000000
200000000000000000000000000000000000000000000000000000000000 200000000000000000000000000000000000000000000000000100000000
10000000000000000000000000000000000000000000000000000000000000000000000000000000 10000000000000000000000000000000000000000000000000000000000000000000000100000000
1000000000000000000000 1000000000000100000000
80000000000000000000000000000000000000000000000000000000000000000000000000000000 80000000000000000000000000000000000000000000000000000000000000000000000100000000
50000000000000000000000000000000000000000000 50000000000000000000000000000000000100000000
50000000000000000000000000000000000000000000000000000000000000000000000000 50000000000000000000000000000000000000000000000000000000000000000100000000
9000000000000000000000000000000000000000000000000000 9000000000000000000000000000000000000000000100000000
900000000000000000000000000000000000000000000000000000000000000000000000000000000000 900000000000000000000000000000000000000000000000000000000000000000000000000100000000
4000000000000000000000000000000000000000000000000 4000000000000000000000000000000000000000100000000
2000000000000000000000000000000 2000000000000000000000100000000
900000000000000000000000000 900000000000000000100000000
2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
60000000000000000000000000000000000000000000000000000000000000000000000000000000000000 60000000000000000000000000000000000000000000000000000000000000000000000000000100000000
9000000000000000000000000000000000000000000000000000000000000000000000000000 9000000000000000000000000000000000000000000000000000000000000000000100000000
1000000000000000000000000000000000000000000000000 1000000000000000000000000000000000000000100000000
700000000000000000000000000000 700000000000000000000100000000
10000000000000000000000000000000000 10000000000000000000000000100000000
60000000000000000000000000000000000000000000000000000000000000000000000000000000000000 60000000000000000000000000000000000000000000000000000000000000000000000000000100000000
30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 30000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
700000000000000000000000000000000000000000000000000000000000000000000000000 700000000000000000000000000000000000000000000000000000000000000000100000000
90000000000000000000000000000000000000000 90000000000000000000000000000000100000000
600000000000000000000000000000000000000 600000000000000000000000000000100000000
20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 60000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
800000000000000000000000000000000000000000000000000000000000000 800000000000000000000000000000000000000000000000000000100000000
20000000000000000000000000000000000000000000000000000000000000000000000000 20000000000000000000000000000000000000000000000000000000000000000100000000
700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 700000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
70000000000000000000000000000000 70000000000000000000000100000000
200000000000000000000000000000000000000000000000000000000000000000000000000 200000000000000000000000000000000000000000000000000000000000000000100000000
300000000000000000000000000 300000000000000000100000000
5000000000000000000000000000000000000000000000000000000000000000000000 5000000000000000000000000000000000000000000000000000000000000100000000
500000000000000000000000000000000000000000000000000000 500000000000000000000000000000000000000000000100000000
100000000000000000000000000000000000000000000 100000000000000000000000000000000000100000000
30000000000000000 30000000100000000
4000000000000000000000000000000000000000000000000000000000000000000000000 4000000000000000000000000000000000000000000000000000000000000000100000000
70000000000000000 70000000100000000
9000000000000000000000000000000000000000000000000 9000000000000000000000000000000000000000100000000
300000000000 300100000000
100000000000000000000000000000000 100000000000000000000000100000000
30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 30000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
10000000000 10100000000
5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
800000000000000000000 800000000000100000000
900000000000 900100000000
5000000000000000000000000000000000000000000000000000000000000000000000000000000000 5000000000000000000000000000000000000000000000000000000000000000000000000100000000
4000000000000000000000000000000000000000000000000000000000000000000000000000000 4000000000000000000000000000000000000000000000000000000000000000000000100000000
3000000000000000000000000000000000000000000000000000000000000000000000000000000 3000000000000000000000000000000000000000000000000000000000000000000000100000000
6000000000000 6000100000000
800000000000000000000000000000000000000000000000000000000000000 800000000000000000000000000000000000000000000000000000100000000
4000000000000000 4000000100000000
300000000000000000000000000 300000000000000000100000000
600000000000000000000000000000000000000000000000000 600000000000000000000000000000000000000000100000000
3000000000000000000000000000000000000000000000000 3000000000000000000000000000000000000000100000000
200000000000000000000000000000000000000000000000000000000000000000000000000000 200000000000000000000000000000000000000000000000000000000000000000000100000000
4000000000000000000000000000000000000000000000000000 4000000000000000000000000000000000000000000100000000
2000000000000000000000000000000000000000 2000000000000000000000000000000100000000
7000000000000000000000000000000000000000000000000000000000000000000000000000000000000 7000000000000000000000000000000000000000000000000000000000000000000000000000100000000
5000000000000000000000000000000000000000000 5000000000000000000000000000000000100000000
30000000000000000000000000000000000000000000000000000000000000000000000000 30000000000000000000000000000000000000000000000000000000000000000100000000
60000000000000000000000000 60000000000000000100000000
600000000000000000000000000 600000000000000000100000000
1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
80000000000000000000000000000000000000000000000000000000000 80000000000000000000000000000000000000000000000000100000000
9000000000000000000000000000000000000000000000000000000000000 9000000000000000000000000000000000000000000000000000100000000
40000000000000000000000000000000000000000000000000000000000000000000000 40000000000000000000000000000000000000000000000000000000000000100000000
70000000000000000000000000000000000000000000000000000000000000000000000000 70000000000000000000000000000000000000000000000000000000000000000100000000
70000000000000000000000000000000000000000000000000000000000000000000000 70000000000000000000000000000000000000000000000000000000000000100000000
6000000000000000000000000000000000000000000000000 6000000000000000000000000000000000000000100000000
70000000000000000000000000000000000000000000000000000000000000000000000000000 70000000000000000000000000000000000000000000000000000000000000000000100000000
40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
20000000000000000000000000000000000000000000000000000 20000000000000000000000000000000000000000000100000000
3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000 300000000000000000000000000000000000000000000000000000000000000000000000000000100000000
3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 3000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
900000000000000000000000000000000000000000000000000000000000000 900000000000000000000000000000000000000000000000000000100000000
600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 600000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
8000000000000000000000000000000000000000000000000000000 8000000000000000000000000000000000000000000000100000000
5000000000000000000000000000000000000000000000000000000000000000000000000000000 5000000000000000000000000000000000000000000000000000000000000000000000100000000
2000000000000000000000000000000000000 2000000000000000000000000000100000000
40000000000000000000000000000000000000000000000000000000000000000000000000000000000 40000000000000000000000000000000000000000000000000000000000000000000000000100000000
2000000000000000000000000000000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000000000000000100000000
10000000000000000000000000000000000000000000000000000000000000000000000000000000000000 10000000000000000000000000000000000000000000000000000000000000000000000000000100000000
70000000000 70100000000
2000000000000000 2000000100000000
